# time,position
0.000000000000000000e+00,0.000000000000000000e+00
1.001001001001000992e-02,5.001500087093941005e-05
2.002002002002001985e-02,1.997084959503553207e-04
3.003003003003002977e-02,4.485230662874184135e-04
4.004004004004003969e-02,7.958618982176281264e-04
5.005005005005004615e-02,1.241093287927060853e-03
6.006006006006005954e-02,1.783550674441707843e-03
7.007007007007007293e-02,2.422532639627471892e-03
8.008008008008007939e-02,3.157302908190171790e-03
9.009009009009008584e-02,3.987090347675536356e-03
1.001001001001000923e-01,4.911088968469212029e-03
1.101101101101101126e-01,5.928457923796757664e-03
1.201201201201201191e-01,7.038361535096893801e-03
1.301301301301301394e-01,8.239927170952343616e-03
1.401401401401401459e-01,9.532183718610478043e-03
1.501501501501501523e-01,1.091413495204753524e-02
1.601601601601601588e-01,1.238476007690984121e-02
1.701701701701701652e-01,1.394301373051379939e-02
1.801801801801801717e-01,1.558782598184589065e-02
1.901901901901901781e-01,1.731810233156268197e-02
2.002002002002001846e-01,1.913272371199081778e-02
2.102102102102102188e-01,2.103054648712703728e-02
2.202202202202202252e-01,2.301040245263812761e-02
2.302302302302302317e-01,2.507109883586099153e-02
2.402402402402402382e-01,2.721141829580259880e-02
2.502502502502502724e-01,2.943011892314000705e-02
2.602602602602602788e-01,3.172593424022034092e-02
2.702702702702702853e-01,3.409757320106081291e-02
2.802802802802802917e-01,3.654372019134870253e-02
2.902902902902902982e-01,3.906303502844141878e-02
3.003003003003003046e-01,4.165415296136640300e-02
3.103103103103103111e-01,4.431568467082118434e-02
3.203203203203203175e-01,4.704621626917340760e-02
3.303303303303303240e-01,4.984430930046074987e-02
3.403403403403403304e-01,5.270850074039098304e-02
3.503503503503503369e-01,5.563730299634200849e-02
3.603603603603603434e-01,5.862920390736172521e-02
3.703703703703703498e-01,6.168266674416821027e-02
3.803803803803803563e-01,6.479613020914951060e-02
3.903903903903903627e-01,6.796800843636383038e-02
4.004004004004003692e-01,7.119669135073619648e-02
4.104104104104104311e-01,7.448099943647179533e-02
4.204204204204204376e-01,7.781963286950746572e-02
4.304304304304304440e-01,8.121085791325634295e-02
4.404404404404404505e-01,8.465294261414822719e-02
4.504504504504504570e-01,8.814415680162961120e-02
4.604604604604604634e-01,9.168277208816361101e-02
4.704704704704704699e-01,9.526706186923007691e-02
4.804804804804804763e-01,9.889530132332546852e-02
4.904904904904904828e-01,1.025657674119629797e-01
5.005005005005005447e-01,1.062767388796724555e-01
5.105105105105105512e-01,1.100264962540003499e-01
5.205205205205205576e-01,1.138133218455098655e-01
5.305305305305305641e-01,1.176354997477808695e-01
5.405405405405405705e-01,1.214913158374098939e-01
5.505505505505505770e-01,1.253790577740101220e-01
5.605605605605605835e-01,1.292970150002114016e-01
5.705705705705705899e-01,1.332434787416603150e-01
5.805805805805805964e-01,1.372167420070200539e-01
5.905905905905906028e-01,1.412150995879705162e-01
6.006006006006006093e-01,1.452368480592082234e-01
6.106106106106106157e-01,1.492802857784464865e-01
