# time,temperature
0.000000000000000000e+00,1.000000000000000000e+02
1.002004008016032094e-01,9.925224949522336715e+01
2.004008016032064188e-01,9.851195403394387995e+01
3.006012024048096420e-01,9.777903891547899207e+01
4.008016032064128376e-01,9.705343066528118356e+01
5.010020040080160886e-01,9.633505664915678324e+01
6.012024048096192841e-01,9.562384489871249116e+01
7.014028056112224796e-01,9.491972411135544974e+01
8.016032064128256751e-01,9.422262365029313003e+01
9.018036072144288706e-01,9.353247354453344542e+01
1.002004008016032177e+00,9.284920448888468059e+01
1.102204408817635262e+00,9.217274784395551990e+01
1.202404809619238568e+00,9.150303563615506164e+01
1.302605210420841653e+00,9.084000055769274695e+01
1.402805611222444959e+00,9.018357596657847353e+01
1.503006012024048044e+00,8.953369588662249612e+01
1.603206412825651350e+00,8.889029500743544077e+01
1.703406813627254657e+00,8.825330868442839005e+01
1.803607214428857741e+00,8.762267293881276942e+01
1.903807615230461048e+00,8.699829250768436850e+01
2.004008016032064354e+00,8.637996463945357561e+01
2.104208416833667439e+00,8.576762342410090412e+01
2.204408817635270523e+00,8.516122167287770139e+01
2.304609218436873608e+00,8.456071235445156731e+01
2.404809619238477136e+00,8.396604859490633999e+01
2.505010020040080221e+00,8.337718367774211004e+01
2.605210420841683305e+00,8.279407104387520633e+01
2.705410821643286834e+00,8.221666429163815337e+01
2.805611222444889918e+00,8.164491717677977078e+01
2.905811623246493003e+00,8.107878361246508803e+01
3.006012024048096087e+00,8.051821766927535862e+01
3.106212424849699616e+00,7.996317357520810276e+01
3.206412825651302700e+00,7.941360571567707893e+01
3.306613226452905785e+00,7.886946863351224124e+01
3.406813627254509314e+00,7.833071702895983890e+01
3.507014028056112398e+00,7.779730575968233097e+01
3.607214428857715482e+00,7.726918984075840058e+01
3.707414829659318567e+00,7.674632444468301173e+01
3.807615230460922096e+00,7.622866490136730988e+01
3.907815631262525180e+00,7.571616669813872136e+01
4.008016032064128709e+00,7.520878547974089656e+01
4.108216432865731349e+00,7.470647704833373837e+01
4.208416833667334878e+00,7.420919736349334528e+01
4.308617234468938406e+00,7.371690254221212513e+01
4.408817635270541047e+00,7.322954885889865295e+01
4.509018036072144575e+00,7.274709274537777048e+01
4.609218436873747216e+00,7.226949079089057193e+01
4.709418837675350744e+00,7.179669974209436134e+01
4.809619238476954273e+00,7.132867650306272367e+01
4.909819639278556913e+00,7.086537813528542529e+01
5.010020040080160442e+00,7.040676185766849926e+01
5.110220440881763970e+00,6.995278504653424534e+01
5.210420841683366611e+00,6.950340523562115891e+01
5.310621242484970139e+00,6.905858011608395941e+01
5.410821643286573668e+00,6.861826753649368982e+01
5.511022044088176308e+00,6.818242550283753189e+01
5.611222444889779837e+00,6.775101217851894830e+01
5.711422845691383365e+00,6.732398588435765419e+01
5.811623246492986006e+00,6.690130509858960295e+01
5.911823647294589534e+00,6.648292845686694363e+01
6.012024048096192175e+00,6.606881475225809197e+01
6.112224448897795703e+00,6.565892293524771617e+01
6.212424849699399232e+00,6.525321211373670849e+01
6.312625250501001872e+00,6.485164155304218525e+01
6.412825651302605401e+00,6.445417067589751525e+01
6.513026052104208929e+00,6.406075906245231977e+01
6.613226452905811570e+00,6.367136645027242992e+01
6.713426853707415098e+00,6.328595273433992929e+01
6.813627254509018627e+00,6.290447796705313976e+01
6.913827655310621267e+00,6.252690235822662146e+01
7.014028056112224796e+00,6.215318627509117277e+01
7.114228456913827436e+00,6.178329024229381616e+01
7.214428857715430965e+00,6.141717494189784077e+01
7.314629258517034494e+00,6.105480121338274557e+01
7.414829659318637134e+00,6.069613005364429625e+01
7.515030060120240663e+00,6.034112261699445412e+01
7.615230460921844191e+00,5.998974021516146848e+01
7.715430861723446831e+00,5.964194431728979851e+01
7.815631262525050360e+00,5.929769654994012740e+01
7.915831663326653889e+00,5.895695869708941927e+01
8.016032064128257417e+00,5.861969270013083388e+01
8.116232464929860058e+00,5.828586065787379766e+01
8.216432865731462698e+00,5.795542482654397531e+01
8.316633266533067115e+00,5.762834761978324138e+01
8.416833667334669755e+00,5.730459160864973001e+01
8.517034068136272396e+00,5.698411952161782779e+01
8.617234468937876812e+00,5.666689424457811697e+01
8.717434869739479453e+00,5.635287882083745359e+01
8.817635270541082093e+00,5.604203645111893195e+01
8.917835671342686510e+00,5.573433049356184910e+01
9.018036072144289150e+00,5.542972446372179007e+01
9.118236472945891791e+00,5.512818203457053556e+01
9.218436873747494431e+00,5.482966703649613294e+01
9.318637274549098848e+00,5.453414345730284651e+01
9.418837675350701488e+00,5.424157544221120020e+01
9.519038076152304129e+00,5.395192729385793484e+01
9.619238476953908545e+00,5.366516347229603667e+01
9.719438877755511186e+00,5.338124859499475150e+01
9.819639278557113826e+00,5.310014743683952787e+01
9.919839679358718243e+00,5.282182493013206681e+01
1.002004008016032088e+01,5.254624616459031472e+01
1.012024048096192352e+01,5.227337638734847047e+01
1.022044088176352794e+01,5.200318100295691437e+01
1.032064128256513058e+01,5.173562557338233603e+01
1.042084168336673322e+01,5.147067581800760649e+01
1.052104208416833764e+01,5.120829761363186350e+01
1.062124248496994028e+01,5.094845699447048304e+01
1.072144288577154292e+01,5.069112015215507938e+01
1.082164328657314734e+01,5.043625343573349085e+01
1.092184368737474998e+01,5.018382335166979402e+01
1.102204408817635262e+01,4.993379656384433218e+01
1.112224448897795703e+01,4.968613989355364424e+01
1.122244488977955967e+01,4.944082031951054290e+01
1.132264529058116231e+01,4.919780497784406492e+01
1.142284569138276673e+01,4.895706116209948533e+01
1.152304609218436937e+01,4.871855632323831031e+01
1.162324649298597201e+01,4.848225806963830564e+01
1.172344689378757465e+01,4.824815188954178069e+01
1.182364729458917907e+01,4.801630658194016377e+01
1.192384769539078171e+01,4.778671748745780690e+01
1.202404809619238435e+01,4.755936625016845909e+01
1.212424849699398877e+01,4.733423458461373912e+01
1.222444889779559141e+01,4.711130427580313551e+01
1.232464929859719405e+01,4.689055717921398525e+01
1.242484969939879846e+01,4.667197522079148087e+01
1.252505010020040110e+01,4.645554039694869175e+01
1.262525050100200374e+01,4.624123477456653575e+01
1.272545090180360816e+01,4.602904049099379336e+01
1.282565130260521080e+01,4.581893975404710062e+01
1.292585170340681344e+01,4.561091484201097046e+01
1.302605210420841786e+01,4.540494810363775713e+01
1.312625250501002050e+01,4.520102195814768464e+01
1.322645290581162314e+01,4.499911889522883968e+01
1.332665330661322756e+01,4.479922147503715735e+01
1.342685370741483020e+01,4.460131232819644964e+01
1.352705410821643284e+01,4.440537415579836988e+01
1.362725450901803725e+01,4.421138972940244827e+01
1.372745490981963989e+01,4.401934189103606343e+01
1.382765531062124253e+01,4.382921355319447088e+01
1.392785571142284695e+01,4.364098769884076745e+01
1.402805611222444959e+01,4.345464738140591976e+01
1.412825651302605223e+01,4.327017572478874996e+01
1.422845691382765487e+01,4.308755592335594997e+01
1.432865731462925929e+01,4.290677124194205305e+01
1.442885771543086193e+01,4.272780501584947643e+01
1.452905811623246457e+01,4.255064065084848579e+01
1.462925851703406899e+01,4.237526162317720946e+01
1.472945891783567163e+01,4.220165147954163132e+01
1.482965931863727427e+01,4.202979383711559080e+01
1.492985971943887868e+01,4.185967238354081132e+01
1.503006012024048133e+01,4.169127087692685052e+01
1.513026052104208397e+01,4.152457314585113579e+01
1.523046092184368838e+01,4.135956308935895720e+01
1.533066132264529102e+01,4.119622467696346746e+01
1.543086172344689366e+01,4.103454194864568194e+01
1.553106212424849808e+01,4.087449901485445025e+01
1.563126252505010072e+01,4.071608005650651307e+01
1.573146292585170336e+01,4.055926932498646664e+01
1.583166332665330778e+01,4.040405114214675564e+01
1.593186372745491042e+01,4.025040990030768739e+01
1.603206412825651483e+01,4.009833006225743190e+01
1.613226452905811570e+01,3.994779616125202892e+01
1.623246492985972012e+01,3.979879280101535954e+01
1.633266533066132453e+01,3.965130465573918883e+01
1.643286573146292540e+01,3.950531647008311609e+01
1.653306613226452981e+01,3.936081305917461748e+01
1.663326653306613423e+01,3.921777930860903183e+01
1.673346693386773509e+01,3.907620017444954641e+01
1.683366733466933951e+01,3.893606068322721114e+01
1.693386773547094393e+01,3.879734593194094572e+01
1.703406813627254479e+01,3.866004108805752537e+01
1.713426853707414921e+01,3.852413138951158089e+01
1.723446893787575362e+01,3.838960214470559862e+01
1.733466933867735449e+01,3.825643873250994886e+01
1.743486973947895891e+01,3.812462660226283617e+01
1.753507014028056332e+01,3.799415127377034196e+01
1.763527054108216419e+01,3.786499833730639608e+01
1.773547094188376860e+01,3.773715345361279105e+01
1.783567134268537302e+01,3.761060235389920337e+01
1.793587174348697388e+01,3.748533083984312952e+01
1.803607214428857830e+01,3.736132478358995002e+01
1.813627254509017916e+01,3.723857012775290798e+01
1.823647294589178358e+01,3.711705288541308789e+01
1.833667334669338800e+01,3.699675914011946531e+01
1.843687374749498886e+01,3.687767504588885004e+01
1.853707414829659328e+01,3.675978682720591451e+01
1.863727454909819770e+01,3.664308077902320804e+01
1.873747494989979856e+01,3.652754326676112839e+01
1.883767535070140298e+01,3.641316072630792178e+01
1.893787575150300739e+01,3.629991966401971837e+01
1.903807615230460826e+01,3.618780665672049679e+01
1.913827655310621267e+01,3.607680835170209832e+01
1.923847695390781709e+01,3.596691146672421979e+01
1.933867735470941795e+01,3.585810279001442780e+01
1.943887775551102237e+01,3.575036918026813026e+01
